# Dados do medidor
param: TS:  Ptotal:=
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		0
16		0
17		0
18		0
19		0
20		0
21		0
22		0
23		0
24		0
25		0
26		0
27		0
28		0
29		0
30		0
31		126
32		143
33		149
34		149
35		149
36		149
37		149
38		147
39		145
40		143
41		143
42		141
43		139
44		139
45		136
46		136
47		134
48		132
49		132
50		132
51		130
52		130
53		130
54		130
55		128
56		128
57		128
58		128
59		128
60		128
61		128
62		128
63		128
64		126
65		126
66		126
67		126
68		126
69		126
70		126
71		128
72		126
73		128
74		126
75		128
76		126
77		128
78		133
79		132
80		126
81		0
82		0
83		0
84		0
85		0
86		0
87		0
88		0
89		0
90		0
91		0
92		0
93		4
94		0
95		0
96		0
97		0
98		0
99		0
100		0
101		0
102		0
103		0
104		2
105		0
106		0
107		0
108		0
109		0
110		4
111		0
112		0
113		0
114		0
115		0
116		0
117		0
118		0
119		0
120		0
121		0
122		0
123		0
124		0
125		0
126		0
127		0
128		0
129		0
130		0
131		0
132		0
133		2
134		0
135		0
136		0
137		0
138		0
139		0
140		0
141		0
142		0
143		0
144		0
145		0
146		2
147		0
148		0
149		0
150		0
151		0
152		0
153		0
154		0
155		0
156		0
157		0
158		0
159		0
160		0
161		0
162		0
163		0
164		55
165		139
166		145
167		147
168		147
169		145
170		145
171		145
172		145
173		143
174		141
175		139
176		139
177		136
178		136
179		134
180		132
181		132
182		141
183		133
184		130
185		130
186		128
187		128
188		128
189		128
190		128
191		128
192		128
193		128
194		126
195		126
196		126
197		126
198		128
199		128
200		126
201		126
202		126
203		126
204		126
205		126
206		126
207		126
208		126
209		126
210		126
211		126
212		124
213		124
214		124
215		124
216		124
217		124
218		124
219		124
220		124
221		21
222		0
223		0
224		0
225		0
226		0
227		0
228		0
229		0
230		0
231		0
232		0
233		0
234		0
235		0
236		0
237		0
238		0
239		0
240		0
241		0
242		0
243		0
244		0
245		0
246		0
247		0
248		0
249		0
250		0
251		0
252		0
253		0
254		0
255		0
256		0
257		0
258		0
259		0
260		0
261		0
262		0
263		0
264		0
265		0
266		0
267		0
268		0
269		0
270		0
271		0
272		0
273		0
274		0
275		2
